,Name,Rating,Genre,Release date,Runtime,Director,Url
0,Black Adam,73.0,"Action,Fantasy,Science Fiction",10/21/2022,2h 5m,Jaume Collet-Serra,https://www.themoviedb.org/movie/436270
1,R.I.P.D. 2: Rise of the Damned,67.0,"Fantasy,Action,Comedy,Crime",11/15/2022,1h 42m,Paul Leyden,https://www.themoviedb.org/movie/1013860
2,Paradise City,58.0,"Crime,Action,Thriller",11/17/2022,1h 33m,Chuck Russell,https://www.themoviedb.org/movie/829799
3,Hex,38.0,"Action,Horror,Thriller",11/01/2022,1h 28m,Chris Johnston,https://www.themoviedb.org/movie/988233
4,Corrective Measures,49.0,"Science Fiction,Action",04/29/2022,1h 46m,Sean Patrick O'Reilly,https://www.themoviedb.org/movie/872177
5,Emily the Criminal,69.0,"Crime,Drama,Mystery,Thriller",08/12/2022,1h 37m,John Patton Ford,https://www.themoviedb.org/movie/862965
6,Disenchanted,74.0,"Comedy,Family,Fantasy",11/18/2022,2h,Adam Shankman,https://www.themoviedb.org/movie/338958
7,Lost Bullet 2,68.0,"Action,Drama,Thriller",11/10/2022,1h 38m,Guillaume Pierret,https://www.themoviedb.org/movie/948276
8,Frank and Penelope,75.0,"Thriller,Horror,Crime",06/03/2022,1h 52m,Sean Patrick Flanery,https://www.themoviedb.org/movie/899294
9,Margaux,68.0,"Horror,Science Fiction",09/09/2022,1h 45m,Steven C. Miller,https://www.themoviedb.org/movie/846778
10,On the Line,65.0,Thriller,10/31/2022,1h 44m,Romuald Boulanger,https://www.themoviedb.org/movie/979924
11,The Woman King,79.0,"Action,Drama,History",09/16/2022,2h 15m,Gina Prince-Bythewood,https://www.themoviedb.org/movie/724495
12,Sniper: The White Raven,75.0,"Drama,Action,War",08/24/2022,2h,Marian Bushan,https://www.themoviedb.org/movie/966220
13,Medieval,72.0,"History,Action,Drama",09/09/2022,2h 6m,Petr Jákl,https://www.themoviedb.org/movie/551271
14,Black Panther: Wakanda Forever,75.0,"Action,Adventure,Science Fiction",11/11/2022,2h 42m,Ryan Coogler,https://www.themoviedb.org/movie/505642
